13000000000-13000009999 017X170
13000590000-13000599999 059X591
13000690000-13000699999 059X591
13000750000-13000750999 076X760
13000753000-13000753999 076X765
13000754000-13000754999 076X769
13000755000-13000755999 076X772
13000756000-13000756999 076X768
13000757000-13000757999 076X771
13000758000-13000758999 076X770
13000759000-13000759999 076X773
13000760000-13000760999 076X760
13000761000-13000761999 076X760
13000763000-13000763999 076X761
13000764000-13000764999 076X762
13000765000-13000765999 076X777
13000766000-13000766999 076X764
13000767000-13000767999 076X776
13000768000-13000768999 076X766
13000769000-13000769999 076X767
13001000000-13001009999 011X110
13001010000-13001019999 011X110
13001020000-13001029999 011X110
13001030000-13001039999 011X110
13001040000-13001049999 011X110
13001050000-13001059999 011X110
13001060000-13001069999 011X110
13001070000-13001079999 011X110
13001080000-13001089999 011X110
13001090000-13001099999 011X110
13001100000-13001109999 011X110
13001110000-13001119999 011X110
13001120000-13001129999 011X110
13001130000-13001139999 011X110
13001140000-13001149999 011X110
13001150000-13001159999 011X110
13001160000-13001169999 011X110
13001170000-13001179999 011X110
13001180000-13001189999 011X110
13001190000-13001199999 011X110
13001200000-13001209999 011X110
13001210000-13001219999 011X110
13001220000-13001229999 011X110
13001230000-13001239999 011X110
13001240000-13001249999 011X110
13001250000-13001259999 011X110
13001260000-13001269999 011X110
13001270000-13001279999 011X110
13001280000-13001289999 011X110
13001290000-13001299999 011X110
13001300000-13001309999 013X130
13001310000-13001319999 013X130
13001320000-13001329999 013X130
13001330000-13001339999 013X130
13001340000-13001349999 013X130
13001350000-13001359999 013X130
13001360000-13001369999 013X130
13001370000-13001379999 013X130
13001380000-13001389999 013X130
13001390000-13001399999 013X130
13001400000-13001409999 018X187
13001410000-13001419999 018X181
13001420000-13001429999 018X182
13001430000-13001439999 018X183
13001440000-13001449999 018X180
13001450000-13001459999 018X185
13001460000-13001469999 018X186
13001470000-13001479999 018X720
13001480000-13001489999 018X180
13001490000-13001499999 018X188
13001500000-13001509999 017X150
13001510000-13001519999 017X150
13001520000-13001529999 017X151
13001530000-13001539999 017X155
13001540000-13001549999 017X155
13001550000-13001559999 017X155
13001560000-13001569999 017X156
13001570000-13001579999 017X153
13001580000-13001589999 017X154
13001590000-13001599999 017X157
13001600000-13001609999 017X161
13001610000-13001619999 017X161
13001620000-13001629999 017X161
13001630000-13001639999 017X152
13001640000-13001649999 017X152
13001650000-13001659999 017X152
13001660000-13001669999 017X166
13001670000-13001679999 017X166
13001680000-13001689999 017X166
13001690000-13001699999 017X166
13001700000-13001709999 017X170
13001710000-13001719999 017X170
13001720000-13001729999 017X170
13001730000-13001739999 017X170
13001740000-13001749999 017X170
13001750000-13001759999 017X174
13001760000-13001769999 017X173
13001770000-13001779999 017X172
13001780000-13001789999 017X158
13001790000-13001799999 017X159
13001800000-13001809999 018X188
13001810000-13001819999 018X181
13001820000-13001829999 018X182
13001830000-13001839999 018X183
13001840000-13001849999 018X181
13001850000-13001859999 018X185
13001860000-13001869999 018X186
13001870000-13001879999 018X187
13001880000-13001889999 018X188
13001890000-13001899999 018X188
13001900000-13001909999 011X110
13001910000-13001919999 011X110
13001920000-13001929999 011X110
13001930000-13001939999 011X110
13001940000-13001949999 011X110
13001950000-13001959999 011X110
13001960000-13001969999 011X110
13001970000-13001979999 011X110
13001980000-13001989999 011X110
13001990000-13001999999 011X110
13002000000-13002009999 051X510
13002010000-13002019999 051X510
13002020000-13002029999 051X510
13002030000-13002039999 051X510
13002040000-13002049999 051X510
13002050000-13002059999 051X510
13002060000-13002069999 051X510
13002070000-13002079999 051X510
13002080000-13002089999 051X510
13002090000-13002099999 051X510
13002100000-13002109999 031X310
13002110000-13002119999 031X310
13002120000-13002129999 031X310
13002130000-13002139999 031X310
13002140000-13002149999 031X310
13002150000-13002159999 031X310
13002160000-13002169999 031X310
13002170000-13002179999 031X310
13002180000-13002189999 031X310
13002190000-13002199999 031X310
13002200000-13002209999 013X130
13002210000-13002219999 013X130
13002220000-13002229999 013X130
13002230000-13002239999 013X130
13002240000-13002249999 013X130
13002250000-13002259999 013X130
13002260000-13002269999 013X130
13002270000-13002279999 013X130
13002280000-13002289999 013X130
13002290000-13002299999 013X130
13002300000-13002309999 083X831
13002310000-13002319999 083X831
13002320000-13002329999 083X831
13002330000-13002339999 083X831
13002340000-13002349999 083X831
13002350000-13002359999 083X831
13002360000-13002369999 083X831
13002370000-13002379999 083X831
13002380000-13002389999 083X831
13002390000-13002399999 083X831
13002400000-13002409999 091X910
13002410000-13002419999 091X910
13002420000-13002429999 091X910
13002430000-13002439999 091X910
13002440000-13002449999 091X910
13002450000-13002459999 091X910
13002460000-13002469999 091X910
13002470000-13002479999 091X910
13002480000-13002489999 091X910
13002490000-13002499999 091X910
13002500000-13002509999 034X340
13002510000-13002519999 034X340
13002520000-13002529999 034X340
13002530000-13002539999 034X340
13002540000-13002549999 034X340
13002550000-13002559999 034X340
13002560000-13002569999 034X340
13002570000-13002579999 034X340
13002580000-13002589999 034X340
13002590000-13002599999 034X340
13002600000-13002609999 036X363
13002610000-13002619999 036X362
13002620000-13002629999 036X364
13002630000-13002639999 036X365
13002640000-13002649999 036X468
13002650000-13002659999 036X367
13002660000-13002669999 036X476
13002670000-13002679999 036X469
13002680000-13002689999 036X470
13002690000-13002699999 036X470
13002700000-13002709999 017X150
13002710000-13002719999 017X150
13002720000-13002729999 017X161
13002730000-13002739999 017X161
13002740000-13002749999 017X161
13002750000-13002759999 017X161
13002760000-13002769999 017X160
13002770000-13002779999 017X172
13002780000-13002789999 017X155
13002790000-13002799999 017X153
13002800000-13002809999 081X812
13002810000-13002819999 081X813
13002820000-13002829999 081X822
13002830000-13002839999 081X821
13002840000-13002849999 081X821
13002850000-13002859999 081X820
13002860000-13002869999 081X815
13002870000-13002879999 081X816
13002880000-13002889999 081X817
13002890000-13002899999 081X818
13002900000-13002909999 084X841
13002910000-13002919999 084X841
13002920000-13002929999 084X841
13002930000-13002939999 084X841
13002940000-13002949999 084X841
13002950000-13002959999 084X841
13002960000-13002969999 084X841
13002970000-13002979999 084X841
13002980000-13002989999 084X841
13002990000-13002999999 084X841
13003000000-13003009999 030X305
13003010000-13003019999 030X301
13003020000-13003029999 030X301
13003030000-13003039999 030X303
13003040000-13003049999 030X303
13003050000-13003059999 030X305
13003060000-13003069999 030X305
13003070000-13003079999 030X307
13003080000-13003089999 030X305
13003090000-13003099999 030X305
13003100000-13003109999 031X310
13003110000-13003119999 031X310
13003120000-13003129999 031X310
13003130000-13003139999 031X310
13003140000-13003149999 031X310
13003150000-13003159999 031X310
13003160000-13003169999 031X310
13003170000-13003179999 031X310
13003180000-13003189999 031X310
13003190000-13003199999 031X310
13003200000-13003209999 031X310
13003210000-13003219999 031X310
